cmd,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12
Bananas,1,1,1,1,1,1,1,0.67,1,0,0,0.3
Oranges,1,0.31,0.08,0.63,0.71,0.91,0,0,0,0,0,1
Cotton,1,1,0.03,1,1,0,0,0,1,1,1,1
Rice,1,1,1,0.95,1,1,1,1,1,1,1,1
Lamb,1,1,1,1,1,1,1,0.78,0.18,0.45,0,0
Hides,1,1,1,1,1,1,1,1,1,1,1,1
Fishmeal,1,0.94,1,1,1,0.91,0.78,0.62,0.59,0.14,0.08,0.21
Groundnut Oil,1,1,1,1,0.9,0.82,0.77,0,0,0,0,0
Groundnuts,1,1,1,1,1,1,1,1,1,1,1,1
Olive Oil,1,0.01,0.59,0.33,0.06,0.05,0,0,0.01,0,0,0
Palm Oil,1,0.91,0,0,0,0,0,0,0,0,0,0
Rapeseed Oil,1,1,1,1,1,1,0.16,1,0,0,0,0
Soybean Oil,1,1,1,1,1,1,0.86,0,0,0,0.23,1
Rubber,1,1,1,1,0.68,0,0,0,0.01,0.45,0.97,1
Hard Sawnwood,1,0.59,0,0.02,1,1,0.51,1,1,1,1,1
Plywood,1,0.74,1,0,0.46,0,0,0,0,0,0,0
Soft Logs,1,1,1,1,1,1,1,1,1,0.55,1,0.9
Soft Sawnwood,1,1,1,1,1,1,0,1,0,0.56,0.68,0
Diammonium Phosphate,1,1,0.44,0,0,0,0,0,0,0,0,0
Urea,1,1,0.8,0.97,1,1,1,1,1,1,1,1
Aluminum,1,1,1,1,1,1,1,1,0.99,1,1,1
Gold,1,1,0,0,0,0.89,0,0,0,0.94,0.34,0.37
Lead,1,1,1,1,1,1,1,1,1,1,1,1
Platinum,1,1,1,0,0,1,1,1,1,1,1,1
Uran,1,1,1,1,1,1,1,1,1,1,1,1
