Commodity,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12
Bananas,1,0.916,0.964,1.053,1.022,0.989,1.002,0.846,0.92,0.985,0.98,1.043
Oranges,1,0.962,0.952,1,1.014,1.019,0.999,0.998,1.005,1.005,0.962,0.961
Cotton,1,1.023,1.047,1.049,1.082,1.089,1.069,1.044,1.019,0.997,0.981,0.987
Rice,1,1.022,1.018,0.999,1.022,1.011,1.002,0.985,0.985,0.962,0.954,0.967
Lamb,1,1.004,1.016,1.011,0.987,0.983,0.993,0.997,0.987,0.99,0.988,0.995
Hides,1,0.979,1.01,0.993,1,1.028,1.027,1.032,1.041,1.04,1.045,1.055
Fishmeal,1,1.008,1.022,1.014,1.013,1.02,1.024,1.03,1.024,1.02,1.024,1.026
Groundnut Oil,1,1.007,1.007,1.023,1.047,1.049,1.054,1.052,1.046,1.044,1.044,1.038
Groundnuts,1,0.989,0.988,0.977,0.976,0.964,0.957,0.963,0.962,0.951,0.961,0.969
Olive Oil,1,1.001,0.983,0.98,0.968,0.977,0.968,0.961,0.967,0.965,0.958,0.964
Palm Oil,1,1.006,0.985,1.009,0.993,1.002,0.995,0.999,0.989,1.013,0.993,0.994
Rapeseed Oil,1,0.994,0.991,0.985,0.97,0.979,0.983,0.988,0.977,0.966,0.946,0.943
Soybean Oil,1,0.982,0.982,0.977,0.988,0.975,0.976,0.977,0.973,0.964,0.954,0.955
Rubber,1,1.013,1.004,1.005,1.018,1.031,1.033,1.029,1.04,1.053,1.039,1.04
Hard Sawnwood,1,1.013,0.998,0.978,0.966,0.957,1.013,1.039,1.028,1.037,1.031,1.036
Plywood,1,0.994,0.983,0.961,0.981,0.961,0.959,0.967,0.964,0.972,0.969,0.941
Soft Logs,1,0.997,1.004,0.986,0.999,0.995,0.991,0.982,0.976,1.004,0.975,1.009
Soft Sawnwood,1,0.987,0.982,1.012,1.067,1.042,1.045,1.043,0.992,1.026,0.977,1.014
Diammonium Phosphate,1,0.998,1.007,0.998,0.989,0.99,0.972,1.016,1.005,1.012,1.01,1.019
Urea,1,0.984,1.024,1.029,0.996,1.008,1.023,1.016,1.028,1.043,1.036,1.034
Aluminum,1,0.987,0.99,0.985,0.98,0.991,0.953,0.962,1.001,0.993,0.952,1.005
Gold,1,0.997,1,0.997,1.003,0.999,0.999,1.005,1.008,1.008,1.008,1.008
Lead,1,0.998,1.041,1.039,1.018,0.99,0.986,1.034,1.058,1.051,1.06,1.058
Platinum,1,0.994,0.979,0.979,1.004,0.981,0.978,0.98,0.984,0.979,0.983,0.976
Uran,1,1.067,1.054,0.991,1.001,0.994,0.982,0.995,1.021,1.021,1.008,1.015
